comment,compound,sentiment
"Amazing content, keep it up!",0.6239,Positive
"You're doing great, keep posting!",0.6588,Positive
I love this reel! So inspiring 🌟,0.8217,Positive
"Honestly, I expected much better",0.7096,Positive
"Not bad, not great",0.6754,Positive
This was a waste of time,-0.4215,Negative
Not impressed with this content,-0.3724,Negative
I have no strong feelings about this,0.2732,Positive
I have no strong feelings about this,0.2732,Positive
"So cool, I really enjoy your videos!",0.7678,Positive
Just another day,0.0,Neutral
"Not bad, not great",0.6754,Positive
This made my day 😊,0.0,Neutral
I love this reel! So inspiring 🌟,0.8217,Positive
"Amazing content, keep it up!",0.6239,Positive
This made my day 😊,0.0,Neutral
I love this reel! So inspiring 🌟,0.8217,Positive
Not impressed with this content,-0.3724,Negative
Not impressed with this content,-0.3724,Negative
I love this reel! So inspiring 🌟,0.8217,Positive
This made my day 😊,0.0,Neutral
This made my day 😊,0.0,Neutral
"So cool, I really enjoy your videos!",0.7678,Positive
I have no strong feelings about this,0.2732,Positive
This made my day 😊,0.0,Neutral
This was a waste of time,-0.4215,Negative
"Honestly, I expected much better",0.7096,Positive
"Amazing content, keep it up!",0.6239,Positive
This was a waste of time,-0.4215,Negative
Just another day,0.0,Neutral
This is so boring,-0.4572,Negative
This was a waste of time,-0.4215,Negative
This was a waste of time,-0.4215,Negative
I have no strong feelings about this,0.2732,Positive
"Amazing content, keep it up!",0.6239,Positive
This made my day 😊,0.0,Neutral
This was a waste of time,-0.4215,Negative
Not impressed with this content,-0.3724,Negative
Okay reel,0.2263,Positive
"You're doing great, keep posting!",0.6588,Positive
This made my day 😊,0.0,Neutral
"You're doing great, keep posting!",0.6588,Positive
"Not bad, not great",0.6754,Positive
"Hmm, it's fine I guess",0.2023,Positive
This made my day 😊,0.0,Neutral
I didn't like the reel,-0.2755,Negative
"Not bad, not great",0.6754,Positive
Just another day,0.0,Neutral
"Amazing content, keep it up!",0.6239,Positive
"So cool, I really enjoy your videos!",0.7678,Positive
Okay reel,0.2263,Positive
This made my day 😊,0.0,Neutral
Not impressed with this content,-0.3724,Negative
"Not bad, not great",0.6754,Positive
"Hmm, it's fine I guess",0.2023,Positive
"You're doing great, keep posting!",0.6588,Positive
This made my day 😊,0.0,Neutral
"Amazing content, keep it up!",0.6239,Positive
"You're doing great, keep posting!",0.6588,Positive
"You're doing great, keep posting!",0.6588,Positive
This was a waste of time,-0.4215,Negative
This was a waste of time,-0.4215,Negative
